;UP;DOWN;LEFT;RIGHT;NOMOVE
<0,0>;6,071797;-0,9999999;-0,9999999;5,774549;0
<0,1>;7,664538;-0,9999999;4,742043;7,536557;0
<0,2>;9,548347;-0,9999999;6,051005;9,415111;0
<0,3>;-0,9999999;-0,9999999;7,509941;11,96866;0
<0,4>;14,99363;-0,9999999;9,524919;14,78003;0
<0,5>;18,64872;-0,9999999;11,82597;18,48205;0
<0,6>;23,07002;-0,9999999;14,55507;23,29719;0
<0,7>;29,15654;-0,9999999;18,55688;28,94523;0
<0,8>;36,43693;-0,9999999;22,72565;-0,9999999;0
<0,9>;43,756;-0,9717525;25,61288;45,47945;0
<0,10>;-0,9999999;-0,9999996;-0,9999999;57,48196;0
<0,11>;71,96974;-0,9999999;45,6588;45,39304;0
<0,12>;57,51028;-0,9999999;56,83344;35,96084;0
<0,13>;45,85456;-0,9999999;45,22759;-0,9999999;0
<1,0>;-0,9999999;4,794602;-0,9999999;7,649538;0
<1,1>;9,597642;6,035749;6,095263;9,542801;0
<1,2>;12,01263;7,61717;7,608993;-0,9999999;0
<1,3>;14,44493;8,429169;9,213828;14,86269;0
<1,4>;18,74866;11,88036;-0,9999999;18,72717;0
<1,5>;23,45418;14,79742;14,89555;23,18522;0
<1,6>;-0,9999999;18,20105;18,4501;29,17375;0
<1,7>;36,60759;23,25112;23,17742;36,4181;0
<1,8>;-0,9999999;28,89793;29,1469;45,7367;0
<1,9>;57,43877;-0,9999999;36,45941;-0,9999999;0
<1,10>;71,40928;41,69284;39,13943;65,24969;0
<1,11>;90,04299;57,40395;-0,9999999;57,45629;0
<1,12>;72,0051;45,88099;71,96597;45,72394;0
<1,13>;57,49066;36,16192;57,37264;-0,9999999;0
<2,0>;9,562525;5,449856;-0,9994414;8,307332;0
<2,1>;12,02405;7,637093;-0,9999999;11,96966;0
<2,2>;15,03861;9,582037;9,579982;14,88756;0
<2,3>;-0,9999999;-0,9999999;11,89863;18,7296;0
<2,4>;23,37467;14,94363;14,95012;23,45871;0
<2,5>;29,34872;18,71099;18,73256;-0,9999999;0
<2,6>;35,07421;21,73966;22,34865;36,27919;0
<2,7>;45,89167;29,09642;-0,9999999;-0,9999999;0
<2,8>;56,5872;30,75224;34,05892;57,00244;0
<2,9>;71,20415;45,8526;-0,9999999;71,90795;0
<2,10>;89,92834;-0,9999999;57,35299;89,99249;0
<2,11>;112,6301;71,99378;71,95981;72,01748;0
<2,12>;89,98679;57,51612;90,06217;57,55596;0
<2,13>;71,60514;45,6929;72,02597;-0,9999999;0
<3,0>;11,96168;-0,9999999;-0,9999999;12,01778;0
<3,1>;15,03303;9,596003;9,561769;15,04176;0
<3,2>;18,80383;12,01487;12,02946;-0,9999999;0
<3,3>;23,2643;14,30248;13,65149;21,70619;0
<3,4>;29,37459;18,59352;-0,9999999;29,29997;0
<3,5>;36,74233;23,42646;23,45671;36,5528;0
<3,6>;45,64556;-0,9999999;29,32444;45,88663;0
<3,7>;-0,9999999;36,43818;36,4739;57,52428;0
<3,8>;71,58701;-0,9999999;45,46578;71,98236;0
<3,9>;90,0472;57,22969;57,32409;89,78233;0
<3,10>;112,4899;71,72385;71,91645;112,576;0
<3,11>;140,8847;90,02516;90,00233;89,98817;0
<3,12>;112,4971;72,00677;112,5243;71,77161;0
<3,13>;89,29624;57,34233;89,89426;-0,9999999;0
<4,0>;14,71328;9,49412;-0,9999999;15,03189;0
<4,1>;18,77957;12,01276;11,98895;18,80638;0
<4,2>;23,51887;15,0119;15,02133;23,48831;0
<4,3>;29,39639;-0,9999999;18,76013;29,35222;0
<4,4>;36,73806;23,46853;23,42323;36,75633;0
<4,5>;45,96267;29,32625;29,36117;45,86583;0
<4,6>;57,45348;36,51847;36,44965;-0,9999999;0
<4,7>;68,91847;42,12679;43,89728;71,2573;0
<4,8>;-0,9999999;57,24415;-0,9999999;90,05235;0
<4,9>;112,3321;71,77969;71,94599;112,6263;0
<4,10>;140,7595;89,9247;89,93665;140,8741;0
<4,11>;176,2744;112,5983;112,5581;112,5597;0
<4,12>;140,6424;89,87112;140,7839;89,7468;0
<4,13>;111,0194;71,45335;112,421;-0,9999999;0
<5,0>;18,47511;11,88057;-0,9999999;18,74579;0
<5,1>;23,42372;15,00407;14,97103;23,5302;0
<5,2>;29,44053;18,7852;18,80053;29,37983;0
<5,3>;36,77604;23,46305;23,51799;36,73561;0
<5,4>;46,02483;29,34285;29,37174;45,80255;0
<5,5>;57,50722;36,74524;36,72051;57,40315;0
<5,6>;71,90797;45,8577;45,94074;71,71744;0
<5,7>;89,79122;-0,9999999;57,14354;-0,9999999;0
<5,8>;-0,9988601;69,45245;70,83368;112,0262;0
<5,9>;139,8976;89,89573;-0,9999999;140,5423;0
<5,10>;175,7989;112,4895;112,2147;176,2296;0
<5,11>;220,4001;140,8441;140,8519;140,7247;0
<5,12>;176,0762;112,2324;176,1355;112,1196;0
<5,13>;139,7883;89,26019;140,7028;-0,9999999;0
<6,0>;23,06038;14,76172;-0,9999999;23,46513;0
<6,1>;29,27979;18,74851;18,51311;29,40774;0
<6,2>;36,71841;23,4959;23,47512;36,82322;0
<6,3>;45,96125;29,41302;29,40601;46,04026;0
<6,4>;57,56223;36,78206;36,80445;57,4227;0
<6,5>;71,95618;45,93861;45,96904;71,88299;0
<6,6>;89,97073;57,40114;57,5231;89,72995;0
<6,7>;112,3898;71,66788;71,84703;-0,9999999;0
<6,8>;140,1418;-0,9999343;83,86942;117,5087;0
<6,9>;175,1629;111,7162;-0,9999999;176,0006;0
<6,10>;219,8007;140,5564;140,3202;220,3163;0
<6,11>;275,5158;176,0753;175,8776;175,9208;0
<6,12>;219,7833;140,622;220,195;140,6125;0
<6,13>;174,3895;112,0873;175,821;-0,9999999;0
<7,0>;-0,9999999;18,44666;-0,9999999;29,35511;0
<7,1>;-0,9999999;23,29615;23,3378;36,75845;0
<7,2>;-0,9999999;29,31898;29,36821;45,9929;0
<7,3>;-0,9999999;36,76646;36,72985;57,53512;0
<7,4>;-0,9999999;46,03215;45,97142;71,96438;0
<7,5>;-0,9999999;57,54778;57,54116;89,97477;0
<7,6>;-0,9999999;71,90778;71,90569;112,4846;0
<7,7>;-0,9999999;89,77766;89,80528;140,638;0
<7,8>;-0,9999999;-0,9999999;112,3859;175,837;0
<7,9>;-0,9999999;140,2481;140,5002;219,8598;0
<7,10>;-0,9999999;175,7263;175,7604;275,0516;0
<7,11>;-0,9992021;211,0424;210,7034;219,6185;0
<7,12>;-0,9999999;175,496;275,1717;174,4633;0
<7,13>;-0,9999999;138,2879;219,2335;-0,9999999;0
